基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託,玉山銀行,板信商銀,三信銀行,彰化銀行,巴黎銀行,陽信銀行,華南銀行,土地銀行,滙豐銀行,遠東銀行,星展銀行,花旗銀行(併入星展銀行),安泰銀行,臺灣企銀,上海銀行,聯邦銀行,台灣銀行,凱基銀行,第一銀行,台北富邦銀行,日盛銀行(併入台北富邦銀),台新銀行,新光銀行,瑞士銀行,合作金庫
野村愛爾蘭-日本策略價值基金,前收累積,美元,910008,6403,2R08,3R04,X,7306,●,X,X,06F,●,1907,NI012,●,AW07,●,6507,9C09,X,AQ02,0G13,3904,3407,NI06,X,X,1T03,B206,●,●,●,NR06,●,BO06,B30I,NMA4,5J09,X,●
野村愛爾蘭-日本策略價值基金,前收累積,美元避險,910009,6404,2R10,3R05,X,7307,●,X,X,06G,●,1908,NI013,5300009,AW08,●,6508,9C10,X,AQ03,0G07,3906,3408,NI07,X,X,1T04,B207,FC06,BA08,CC02(除權),NR07,NI02,BO07,B30J,NMA5,5J10,X,DC09
野村愛爾蘭-日本策略價值基金,前收累積,日圓,910007,6402,2R09,3R06,X,7305,●,X,X,06E,●,1906,NI011,5300008,AW06,●,6506,9C08,X,AQ04,0G12,3903,3406,NI05,X,X,1T02,B205,FC05,BA07,CC01(除權),NR05,NI01,BO05,B30H,NMA3,5J11,X,DC08
野村愛爾蘭-日本策略價值基金,後收累積,日圓,●,●,5R09,●,X,●,●,X,X,●,●,7413,●,5300028,●,●,●,9D05,X,●,0G23,9403,●,UN15,X,X,●,B287,●,BT07,●,NS04,●,AE06,●,MUC0,5M05,X,●
野村愛爾蘭-日本策略價值基金,後收累積,美元避險,0091B004,6602,5R10,●,X,●,●,X,X,06D,●,7403,NQ04,5300010,BW08,IB04,●,9D03,X,4A01,0G09,9404,●,UN07,X,X,0H02,B288,●,BT03,●,NS05,●,AE01,A81B,MUB4,5M04,X,BA03
野村愛爾蘭-全球非投資等級債券基金,前收累積,美元,●,●,X,●,X,●,●,X,X,●,●,X,NI002,●,AW09,●,X,●,X,●,●,●,X,NI08,X,X,●,●,FC07,●,●,●,●,BO11,B30E,●,5J04,X,●
野村愛爾蘭-全球非投資等級債券基金,前收月配,美元,●,●,X,●,X,●,●,X,X,●,●,X,NI003,●,AW10,●,X,●,X,●,●,●,X,NI09,X,X,●,●,FC08,●,●,●,●,BO12,B30F,NMA7,5J05,X,●
野村愛爾蘭-全球非投資等級債券基金,前收月配,澳幣避險,●,●,X,●,X,●,●,X,X,●,●,X,NI004,●,AW11,●,X,●,X,●,●,●,X,NI10,X,X,●,●,FC09,●,●,●,●,●,B30G,NMA8,5J06,X,●
野村愛爾蘭-全球非投資等級債券基金,後收月配,美元,●,●,X,●,X,●,●,X,X,●,●,X,NQ002,●,BW10,●,X,●,X,●,●,●,X,UN09,X,X,●,●,FF02,●,●,●,●,AE04,A81C,MUA2,5M02,X,●
野村愛爾蘭-印度領先股票基金,前收累積,美元,●,6406,X,●,X,●,●,X,X,06H,●,1909,NI010,5300011,AW14,●,6502,●,X,AQ01,0G08,●,●,NI11,X,X,1T08,B208,FC12,BA09,CC06(除權),NR08,NI03,BO13,B30K,NMB3,●,X,DC12
野村愛爾蘭-美國非投資等級債券基金,前收累積,美元,●,●,2R03,●,X,7302,●,X,X,86C,1B09,1901,NI005,5300001,AW03,IA01,6505,9C03,X,AQ51,0G01,●,3403,NI02,X,X,1T07,B202,FC01,BA03,CC10(除權),NR02,NI05,BO02,B30A,NMB6,5J12,X,DC03
野村愛爾蘭-美國非投資等級債券基金,前收累積,澳幣避險,●,●,2R05,3R02,X,●,●,X,X,86D,1B10,1902,NI006,5300003,AW04,IA03,●,9C05,X,AQ54,●,●,3404,NI03,X,X,1T05,B203,FC03,●,●,NR03,●,BO03,●,NMB5,5J02,X,DC05
野村愛爾蘭-美國非投資等級債券基金,前收月配,美元,910004,6401,2R04,3R01,X,7301,440001,X,X,86E,1B02,1903,NI001,5300002,AW01,IA02,6501,9C04,X,AQ52,0G02,3902,3402,NI01,X,X,1T01,B201,FC02,BA01,"0C08(除息)
CC08(除權)",NR01,NI04,BO01,B30B,NMA1,5J01,X,DC04
野村愛爾蘭-美國非投資等級債券基金,前收月配,日圓,●,●,●,●,X,●,●,X,X,23C,●,1915,●,●,AW15,●,●,9C14,X,●,●,●,●,NI19,X,X,●,●,●,BA13,"0C11(除息)
CC11(除權)",NR15,●,BO14,●,NMB8,●,X,DC14
野村愛爾蘭-美國非投資等級債券基金,前收月配,日圓避險,●,●,●,●,X,●,●,X,X,23D,●,1916,●,●,AW16,●,●,9C15,X,●,0G19,●,●,NI20,X,X,●,B211,●,BA14,"0C12(除息)
CC12(除權)",NR16,NI12,BO15,●,NMB9,5J14,X,DC13
野村愛爾蘭-美國非投資等級債券基金,前收月配,澳幣,910003,●,2R06,●,X,●,●,X,X,●,1B01,1904,●,●,●,●,●,9C06,X,AQ53,●,●,3405,NI12,X,X,●,●,●,BA02,●,●,●,BO10,B30C,NMA2,5J13,X,●
野村愛爾蘭-美國非投資等級債券基金,前收月配,澳幣避險,910005,6405,2R07,3R03,X,●,●,X,X,86F,1B03,1905,NI007,5300004,AW05,IA04,●,9C07,X,AQ55,●,●,3401,NI04,X,X,1T06,B204,FC04,BA04,"0C09(除息)
CC09(除權)",NR04,NI06,BO04,B30D,NMA6,5J03,X,DC06
野村愛爾蘭-美國非投資等級債券基金,前收月配,南非幣避險,●,●,2R12,●,X,●,●,X,X,●,1B11,●,NI017,5300005,●,●,●,9C12,X,●,0G17,●,●,NI15,X,X,●,B212,●,BA11,"0C07(除息)
CC07(除權)",NR13,NI07,●,X,NMB7,●,X,DC10
野村愛爾蘭-美國非投資等級債券基金,後收累積,美元,●,●,5R03,●,X,●,●,X,X,●,1BB6,7407,●,5300006,BW03,●,65Z7,9D07,X,●,0G18,●,X,UN19,X,X,●,B283,●,BT05,●,NS03,●,AE05,●,MUB6,5M06,X,BA04
野村愛爾蘭-美國非投資等級債券基金,後收月配,美元,0091B002,6601,5R04,●,X,●,●,X,X,◎85Z,1BB1,7401,NQ001,5300007,BW01,IB01,65Z8,9D02,X,4A51,0G06,9402,X,UN01,X,X,0H01,B281,FF01,BT01,●,NS01,●,AE02,A81A,MUA1,5M01,X,BA02
野村愛爾蘭-美國非投資等級債券基金,後收月配,日圓,●,●,●,●,X,●,●,X,X,23H,●,7409,●,●,BW15,●,●,9D08,X,●,●,●,X,UN20,X,X,●,●,●,BT08,●,NS09,●,AE08,●,MUA3,●,X,BA07
野村愛爾蘭-美國非投資等級債券基金,後收月配,日圓避險,●,●,●,●,X,●,●,X,X,23I,●,7410,●,●,BW16,●,●,9D09,X,●,0G20,●,X,UN21,X,X,●,B284,●,BT09,●,NS10,●,AE09,●,MUA4,5M07,X,BA06
野村愛爾蘭-全球多元收益債券基金,前收累積,美元,910001,X,2R01,●,X,7303,●,X,X,03A,1B06,1910,NI008,5300012,AW12,IA05,6503,9C01,X,AQ56,0G03,3907,●,NI13,X,X,1T09,B209,FC10, BA05,CC05(除權),NR09,NI09,BO08,X,NMA9,5J08,X,DC01
野村愛爾蘭-全球多元收益債券基金,前收月配,美元,910002,X,2R02,●,X,7304,●,X,X,03B,1B07,1911,NI009,5300013,AW13,IA06,6504,9C02,X,AQ57,0G04,3901,●,NI14,X,X,1T10,B210,FC11,BA06,"0C04(除息)
CC04(除權)",NR10,NI08,BO09,X,NMB1,5J07,X,DC02
野村愛爾蘭-全球多元收益債券基金,前收月配,日圓,●,X,●,●,X,●,●,X,X,23J,●,1917,●,●,AW17,●,●,9C16,X,●,●,3908,●,NI17,X,X,●,●,FC13,BA15,"0C13(除息)
CC13(除權)",NR17,●,BO16,X,NMC1,●,X,DC16
野村愛爾蘭-全球多元收益債券基金,前收月配,日圓避險,●,X,●,●,X,●,●,X,X,23K,●,1918,●,●,AW18,●,●,9C17,X,●,0G21,3909,●,NI18,X,X,●,B213,FC14,BA16,"0C14(除息)
CC14(除權)",NR18,NI11,BO17,X,NMC2,5J15,X,DC15
野村愛爾蘭-全球多元收益債券基金,前收月配,南非幣避險,●,X,2R11,●,X,●,●,X,X,●,1B08,●,NI018,5300014,●,●,●,9C11,X,●,0G16,●,●,NI16,X,X,●,B214,●,BA12,"0C03(除息)
CC03(除權)",NR14,NI10,●,X,NMB4,●,X,DC11
野村愛爾蘭-全球多元收益債券基金,後收累積,美元,●,X,5R01,●,X,●,●,X,X,●,1BB4,7408,●,5300015,BW12,IB02,65Z6,9D06,X,●,●,9405,●,UN16,X,X,●,B285,●,BT06,●,NS06,●,AE07,X,MUB5,5M08,X,BA05
野村愛爾蘭-全球多元收益債券基金,後收月配,美元,0091B001,X,5R02,●,X,●,●,X,X,◎03C,1BB5,7402,NQ003,5300016,BW13,IB03,65Z9,9D01,X,4A52,0G05,9401,●,UN14,X,X,0H03,B282,FF03,BT02,●,NS02,●,AE03,X,MUB2,5M03,X,BA01
野村愛爾蘭-全球多元收益債券基金,後收月配,日圓,●,X,●,●,X,●,●,X,X,23L,●,7411,●,●,BW17,●,●,9D10,X,●,●,9406,●,UN17,X,X,●,●,FF04,BT10,●,NS11,●,AE10,X,MUB7,●,X,BA09
野村愛爾蘭-全球多元收益債券基金,後收月配,日圓避險,●,X,●,●,X,●,●,X,X,23M,●,7411,●,●,BW18,●,●,9D11,X,●,0G22,9407,●,UN18,X,X,●,B286,FF05,BT11,●,NS12,●,AE11,X,MUB8,5M09,X,BA08
野村愛爾蘭-全球精選核心股票基金,前收累積,美元,●,X,X,●,X,●,●,X,X,●,1B05,1913,NI015,5300019,●,●,●,●,X,●,0G14,3905,●,●,X,X,●,●,●,●,●,NR11,●,●,●,●,●,X,●
野村愛爾蘭-全球精選核心股票基金,後收累積,美元,●,X,X,●,X,●,●,X,X,●,1BB3,7405,NQ006,5300020,●,●,●,●,X,●,0G15,●,●,●,X,X,●,●,●,●,●,NS07,●,●,●,●,●,X,●
野村愛爾蘭-日本精選股票基金,前收累積,美元,●,X,X,●,X,●,●,X,X,●,●,1914,NI014,5300017,●,●,●,●,X,●,●,●,●,●,X,X,●,●,●,●,●,●,●,●,●,●,●,X,●
野村愛爾蘭-日本精選股票基金,後收累積,美元,●,X,X,●,X,●,●,X,X,●,●,7406,NQ005,5300018,●,●,●,●,X,●,●,●,●,●,X,X,●,●,●,●,●,●,●,●,●,●,●,X,●
野村愛爾蘭-AC聚焦成長轉機股票基金,前收累積,美元,910006,X,X,X,X,X,●,X,X,05T,1B04,1912,NI016,5300021,X,X,X,X,X,●,0G10,●,X,X,X,X,●,X,X,BA10,●,NR12,●,●,X,NMB2,●,X,●
野村愛爾蘭-AC聚焦成長轉機股票基金,後收累積,美元,0091B003,X,X,X,X,X,●,X,X,05U,1BB2,7404,NQ007,5300022,X,X,X,X,X,●,0G11,●,X,X,X,X,●,X,X,BT04,●,NS08,●,●,X,MUB3,●,X,●
野村愛爾蘭-AC全球小型股票基金,前收累積,美元,●,X,●,●,X,●,●,X,X,●,●,●,NI019,5300026,●,●,●,9C13,X,●,●,●,●,●,X,X,●,●,●,●,●,●,●,●,X,●,●,X,●
野村愛爾蘭-AC全球小型股票基金,後收累積,美元,●,X,●,●,X,●,●,X,X,●,●,●,NQ08,5300027,●,●,●,9D04,X,                                                                                                                                                                                                                                                                    ,●,●,●,●,X,X,●,●,●,●,●,●,●,●,X,●,●,X,●
野村愛爾蘭-亞洲(日本除外)精選核心股票基金,前收累積,美元,●,●,●,X,X,●,X,X,X,●,X,●,●,●,●,●,●,●,X,●,●,●,●,●,X,X,●,●,●,●,●,●,●,●,X,●,●,X,●
野村愛爾蘭-亞洲(日本除外)精選核心股票基金,後收累積,美元,●,●,●,X,X,●,X,X,X,●,X,●,●,●,●,●,●,●,X,●,●,●,●,●,X,X,●,●,●,●,●,●,●,●,X,●,●,X,●
